"requirement_id","source_document","source_line_range","gate","feature","required_behavior","current_files","current_implementation","visible_v197_control","bridge_binding","api_endpoint","service","database_model","migration","authorization_or_rls","worker_or_external_provider","unit_test","integration_test","browser_e2e","runtime_evidence","operational_evidence","current_status","exact_gap","required_fix","acceptance_test","founder_action_required","final_verdict"
"G09-007","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","XP and levels","System XP and level progression","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Migration 0026 covers progression; level UI unproven","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-008","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Achievements and reward inventory","Source-linked, reversible achievements","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Modelled; not browser-proven","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-009","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Streaks with timezone/DST/grace/repair","Streak state with grace windows and repair tokens","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Modelled; no timezone/DST test","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-010","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Capacity-aware quests","Quests assigned against current capacity","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Modelled; capacity linkage unproven","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-011","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Opt-in reputation/leaderboards","Opt-in only, anti-abuse, privacy controls","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","MISSING","No leaderboard implementation","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-012","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Deterministic engagement policy","At most one primary cue per surface with reason codes","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","app/services/engagement_policy.py + models/engagement.py exist; reason-code audit unproven","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-013","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Notification preferences + categories/channels/quiet hours","Full user control per category and channel","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","api/v1/notifications.py + migration 0020 + test_notifications.py exist","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-014","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Real push/email sandbox delivery","Actual sandbox delivery with retry/dedup/bounce/unsubscribe","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","MISSING","No push or email delivery adapter for notifications","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-015","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Experiment assignment/exposure/guardrails/stop/rollback","Full experiment engine","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","MISSING","No experiment tables or service","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-016","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","No reward from crisis/pain/time-spent","Hard policy exclusions enforced","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Policy stated in engagement_policy.py; no test proves the exclusions","","All rewards derive from real server events; abuse suite green","","OPEN"
"G10-sys1","MASTERPLAN_V5","469-760","G10_SYSTEMS","Star System: Quiet Ambition","Persisted diagnostic, one useful action, Plan, capacity/effort, blocker+fallback, Return/outcome, progress calculation, Map/Orbit/Timeline/Insight projection, Glow eligibility, uncertainty/correction, research/community/consultation links, empty/loading/error states, cross-owner isolation, browser E2E","apps/api/app/living/, app/api/v1/living.py, app/api/v1/map.py, app/api/v1/timeline.py, app/api/v1/insights.py","","","","","","","0012_sol_living_system, 0013_map_feasibility","RLS owner-scoped","","test_sol_living_system.py, test_live_universe.py","","sol-living-v197.spec.ts, universe-lenses.spec.ts","","","PARTIAL","Living-system backend and lenses exist and pass unit tests; no per-System proof of the full diagnostic->action->Return->projection slice, and browser suites were not run on this candidate","","Every System completes a real end-to-end mutation and projection","","OPEN"
"G10-sys2","MASTERPLAN_V5","469-760","G10_SYSTEMS","Star System: Rebuild","Persisted diagnostic, one useful action, Plan, capacity/effort, blocker+fallback, Return/outcome, progress calculation, Map/Orbit/Timeline/Insight projection, Glow eligibility, uncertainty/correction, research/community/consultation links, empty/loading/error states, cross-owner isolation, browser E2E","apps/api/app/living/, app/api/v1/living.py, app/api/v1/map.py, app/api/v1/timeline.py, app/api/v1/insights.py","","","","","","","0012_sol_living_system, 0013_map_feasibility","RLS owner-scoped","","test_sol_living_system.py, test_live_universe.py","","sol-living-v197.spec.ts, universe-lenses.spec.ts","","","PARTIAL","Living-system backend and lenses exist and pass unit tests; no per-System proof of the full diagnostic->action->Return->projection slice, and browser suites were not run on this candidate","","Every System completes a real end-to-end mutation and projection","","OPEN"
"G10-sys3","MASTERPLAN_V5","469-760","G10_SYSTEMS","Star System: Study","Persisted diagnostic, one useful action, Plan, capacity/effort, blocker+fallback, Return/outcome, progress calculation, Map/Orbit/Timeline/Insight projection, Glow eligibility, uncertainty/correction, research/community/consultation links, empty/loading/error states, cross-owner isolation, browser E2E","apps/api/app/living/, app/api/v1/living.py, app/api/v1/map.py, app/api/v1/timeline.py, app/api/v1/insights.py","","","","","","","0012_sol_living_system, 0013_map_feasibility","RLS owner-scoped","","test_sol_living_system.py, test_live_universe.py","","sol-living-v197.spec.ts, universe-lenses.spec.ts","","","PARTIAL","Living-system backend and lenses exist and pass unit tests; no per-System proof of the full diagnostic->action->Return->projection slice, and browser suites were not run on this candidate","","Every System completes a real end-to-end mutation and projection","","OPEN"
"G10-sys4","MASTERPLAN_V5","469-760","G10_SYSTEMS","Star System: Money","Persisted diagnostic, one useful action, Plan, capacity/effort, blocker+fallback, Return/outcome, progress calculation, Map/Orbit/Timeline/Insight projection, Glow eligibility, uncertainty/correction, research/community/consultation links, empty/loading/error states, cross-owner isolation, browser E2E","apps/api/app/living/, app/api/v1/living.py, app/api/v1/map.py, app/api/v1/timeline.py, app/api/v1/insights.py","","","","","","","0012_sol_living_system, 0013_map_feasibility","RLS owner-scoped","","test_sol_living_system.py, test_live_universe.py","","sol-living-v197.spec.ts, universe-lenses.spec.ts","","","PARTIAL","Living-system backend and lenses exist and pass unit tests; no per-System proof of the full diagnostic->action->Return->projection slice, and browser suites were not run on this candidate","","Every System completes a real end-to-end mutation and projection","","OPEN"
"G10-sys5","MASTERPLAN_V5","469-760","G10_SYSTEMS","Star System: Body","Persisted diagnostic, one useful action, Plan, capacity/effort, blocker+fallback, Return/outcome, progress calculation, Map/Orbit/Timeline/Insight projection, Glow eligibility, uncertainty/correction, research/community/consultation links, empty/loading/error states, cross-owner isolation, browser E2E","apps/api/app/living/, app/api/v1/living.py, app/api/v1/map.py, app/api/v1/timeline.py, app/api/v1/insights.py","","","","","","","0012_sol_living_system, 0013_map_feasibility","RLS owner-scoped","","test_sol_living_system.py, test_live_universe.py","","sol-living-v197.spec.ts, universe-lenses.spec.ts","","","PARTIAL","Living-system backend and lenses exist and pass unit tests; no per-System proof of the full diagnostic->action->Return->projection slice, and browser suites were not run on this candidate","","Every System completes a real end-to-end mutation and projection","","OPEN"
"G10-sys6","MASTERPLAN_V5","469-760","G10_SYSTEMS","Star System: Connection","Persisted diagnostic, one useful action, Plan, capacity/effort, blocker+fallback, Return/outcome, progress calculation, Map/Orbit/Timeline/Insight projection, Glow eligibility, uncertainty/correction, research/community/consultation links, empty/loading/error states, cross-owner isolation, browser E2E","apps/api/app/living/, app/api/v1/living.py, app/api/v1/map.py, app/api/v1/timeline.py, app/api/v1/insights.py","","","","","","","0012_sol_living_system, 0013_map_feasibility","RLS owner-scoped","","test_sol_living_system.py, test_live_universe.py","","sol-living-v197.spec.ts, universe-lenses.spec.ts","","","PARTIAL","Living-system backend and lenses exist and pass unit tests; no per-System proof of the full diagnostic->action->Return->projection slice, and browser suites were not run on this candidate","","Every System completes a real end-to-end mutation and projection","","OPEN"
"G10-sys7","MASTERPLAN_V5","469-760","G10_SYSTEMS","Star System: Creation","Persisted diagnostic, one useful action, Plan, capacity/effort, blocker+fallback, Return/outcome, progress calculation, Map/Orbit/Timeline/Insight projection, Glow eligibility, uncertainty/correction, research/community/consultation links, empty/loading/error states, cross-owner isolation, browser E2E","apps/api/app/living/, app/api/v1/living.py, app/api/v1/map.py, app/api/v1/timeline.py, app/api/v1/insights.py","","","","","","","0012_sol_living_system, 0013_map_feasibility","RLS owner-scoped","","test_sol_living_system.py, test_live_universe.py","","sol-living-v197.spec.ts, universe-lenses.spec.ts","","","PARTIAL","Living-system backend and lenses exist and pass unit tests; no per-System proof of the full diagnostic->action->Return->projection slice, and browser suites were not run on this candidate","","Every System completes a real end-to-end mutation and projection","","OPEN"
"G10-008","MASTERPLAN_V5","713-737","G10_SYSTEMS","System progress + Body/Mind/Life composition","Explainable weighted progress from persisted inputs; no fake percentages; UI shows what raised/lowered it","apps/api/app/living/","","","","","","","","","","","","","","","PARTIAL","Progress calculation exists; explainability surface and versioned weights unproven","","","","OPEN"
"G10-009","MASTERPLAN_V5","356-382","G10_SYSTEMS","Today computed from real state","Date/daypart, Body/Mind/Life state, capacity, Low Day Mode, one primary movement, open Return, Glow/streak/quest, waiting items","apps/api/app/api/v1/product_surfaces.py","","","","","","","","","","test_product_surfaces.py","","","","","PARTIAL","Today surface exists; deterministic fixture-to-output test and Low Day Mode unproven","","","","OPEN"
"G11-001","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","One catalog architecture","Single catalog architecture for all first-party strings","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","PARTIAL","apps/api/app/i18n/ + packages/ exist; packages/i18n as specified not confirmed","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-002","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","All first-party strings extracted","Zero raw first-party strings outside approved sources","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","MISSING","No extraction test enforcing zero raw strings","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-003","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Zero missing keys","Every locale slot resolves every key or falls back deterministically","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","MISSING","No key-completeness validator","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-004","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","35 locale slots","All 35 locales present as slots with quality state","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","MISSING","Repo carries a small locale set, not 35 slots","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-005","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Locale/script/direction metadata","Direction and script metadata per locale","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","PARTIAL","Direction handling exists in the V197 i18n bridge","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-006","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Mixed bidi correctness","Unicode bidi isolation for mixed Roman/Arabic-script text","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","UNPROVEN","v197-language-wordmark.spec.ts covers wordmark; full bidi matrix unproven","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-007","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Dates/numbers/forms per locale","Locale-correct dates, numbers and form behaviour","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","UNPROVEN","Not asserted by tests","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-008","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Long-string and mobile layout tests","Long strings do not break mobile geometry","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","UNPROVEN","Not asserted on this candidate","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-009","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Dynamic translation + View Original","Translation service preserving the original with View Original","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","PARTIAL","api/v1/translations.py + migration 0027 + test_translations.py exist; View Original control unproven","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-010","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Glossary/version/cache/feedback","Content-hash cache, glossary, versioning, feedback","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","PARTIAL","Translation contract migration exists; glossary absent","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-011","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Privacy-scope preservation in translation","No external translation of private text outside allowed policy","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","PARTIAL","Scope model exists; no test proves the boundary","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-012","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Honest quality labels","machine / reviewed / native-reviewed labels are truthful","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","MISSING","No per-locale quality-state field surfaced","","No missing keys; priority locales human reviewed; remaining labels honest","","OPEN"
"G11-013","MASTERPLAN_V5","2747-2812","G11_LANGUAGE","Priority locale human review","English, Roman Urdu, Urdu RTL, Roman Hindi, Hindi polished by human review","apps/api/app/i18n/, apps/web/src/bridge/v197I18n.ts, apps/api/app/api/v1/translations.py","","","v197I18n.ts","","","","0010, 0027","","","test_translations.py","","","","","FOUNDER_ACTION_REQUIRED","Human/founder review cannot be performed by an agent","","No missing keys; priority locales human reviewed; remaining labels honest","FOUNDER_ACTION_REQUIRED_LOCALE_HUMAN_REVIEW","OPEN"
"G12-001","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Real multi-user posts/comments/reactions/saves/follows","Real users, not owner-only notes","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","app/community/ + community_social.py + migration 0017/0028 + test_community_completion.py exist","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-002","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Post revisions","Revision history for posts and comments","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","Modelled; unproven in UI","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-003","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Connections","Consented follow/connect/remove with privacy defaults","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","Routes exist; lifecycle unproven","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-004","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Rooms + membership + roles","Room membership and role enforcement","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","test_group_nur.py covers room scope","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-005","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Sequenced messages","Room messages carry a durable sequence","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","Modelled; sequence guarantees unproven","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-006","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Authenticated realtime + reconnect","WebSocket/SSE with membership revalidation and reconnect","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","MISSING","No realtime gateway found","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-007","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Block/mute/report","User controls for block, mute and report","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","community_moderation.py + migration 0028 exist","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-008","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Moderation queue/actions/audit/appeals","Full moderation lifecycle with audit and appeal","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","Queue and actions modelled; appeals unproven","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-009","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Translation + View Original in community","Community content translatable with original preserved","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","Translation service exists; community integration unproven","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-010","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Opt-in reputation","Reputation from real events, opt-in only","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","reputation events modelled","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-011","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Explainable Signal Feed with stop points","Ranked feed with Why This and caught-up stop points","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","MISSING","No feed ranking module","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-012","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Privacy and RLS across community","No cross-scope leakage in community tables","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PASS","","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","PASS"
"G12-013","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","Anti-abuse tests","Spam, brigading and rate-abuse suites","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","MISSING","No anti-abuse suite","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G12-014","MASTERPLAN_V5","2496-2643","G12_COMMUNITY","No fake population","Seed users visibly DEMO and never counted as social proof","apps/api/app/community/, app/api/v1/community*.py","","","","","","","0016, 0017, 0018, 0028","RLS + membership checks","","test_community_completion.py, test_group_nur.py","","community-group-nur.spec.ts","","","PARTIAL","migration 0018_council_demo_markers marks demo rows; no test asserts exclusion from counts","","RLS/membership/abuse/reconnect/ranking guardrails green with real multi-user browser evidence","","OPEN"
"G13-001","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Room-scoped Group NUR","Summaries scoped to room content only","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","PARTIAL","app/api/v1/group_research.py + migration 0016/0029 + test_group_nur.py exist","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-002","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Decisions / tensions / minority views","Disagreement preserved, not flattened","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","PARTIAL","Modelled; unproven in UI","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-003","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Questions / corrections / versions","Group summaries versioned and correctable","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","PARTIAL","Modelled","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-004","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Consultation state machine ORIENT->GATHER->MAP->MOVE->RETURN","Durable legal transitions with roles","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","PARTIAL","api/v1/consultations.py + migration 0019 + test_consultations.py exist; full cycle E2E unproven","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-005","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Lawful Research/Web retrieval","Server-side lawful retrieval with source records","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","BLOCKED_EXTERNAL","research.live-fetch BLOCKED_BY_EXTERNAL_PROVIDER","","Complete scoped flows with evidence and moderation","FOUNDER_ACTION_REQUIRED_RESEARCH_PROVIDER","OPEN"
"G13-006","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Citations + counter-sources + freshness","Every claim cited; counter-sources sought; freshness scored","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","PARTIAL","Grounding contract enforced in prompts; live source records absent","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-007","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Watchlists / change detection","Scheduled lawful fetch with change detection","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","MISSING","No watchlist scheduler","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-008","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","PII minimisation + untrusted-content isolation","Queries redacted; external content never gains tool authority","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","PARTIAL","Prompt treats evidence as untrusted data; no gateway to test","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-009","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Expert identity/credential/conflict verification","Verified expertise with conflict disclosure","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","MISSING","No expert module","","Complete scoped flows with evidence and moderation","","OPEN"
"G13-010","MASTERPLAN_V5","2591-2684","G13_GROUP_RESEARCH","Tender Insight uncertainty and revision","Correctable insights with uncertainty","apps/api/app/api/v1/group_research.py, app/api/v1/consultations.py","","","","","","","0016, 0019, 0029","","","test_group_nur.py, test_group_research_completion.py, test_consultations.py","","community-group-nur.spec.ts, omega-research.spec.ts","","","PARTIAL","insights.py exists; tender-specific contract absent","","Complete scoped flows with evidence and moderation","","OPEN"
"G14-001","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Project Orbits + members + permissions","Membership and role enforcement","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","app/api/v1/projects.py + models/projects.py + migration 0014/0030 + test_am_projects.py exist","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-002","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Tasks/milestones/blockers/decisions/evidence","Full project object model","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","Modelled and tested","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
